text,condition,record_type,Care_Profile
Barium study performed to evaluate motility and rule out partial obstruction.,Digestive Issues,Clinical Notes,barium study performed to evaluate motility and rule out partial obstruction digestive issues clinical notes
Assess deep pain sensation in paralyzed limbs.,Mobility Problems,Clinical Notes,assess deep pain sensation in paralyzed limbs mobility problems clinical notes
Implement regular turning schedule and padded bedding to prevent pressure sores in recumbent animals.,Mobility Problems,Clinical Notes,implement regular turning schedule and padded bedding to prevent pressure sores in recumbent animals mobility problems clinical notes
"Rule out extra-GI causes of vomiting (renal condition, pancreatitis, DKA).",Digestive Issues,Clinical Notes,rule out extragi causes of vomiting renal condition pancreatitis dka digestive issues clinical notes
Baermann technique used to recover lungworm larvae from feces.,Parasites,Clinical Notes,baermann technique used to recover lungworm larvae from feces parasites clinical notes
"Emphasize need to treat all dogs, cats, and ferrets in the household concurrently for ectoparasites.",Parasites,Clinical Notes,emphasize need to treat all dogs cats and ferrets in the household concurrently for ectoparasites parasites clinical notes
My ferret scratches at his ears until they bleed.,Ear Infections,Owner Observation,my ferret scratches at his ears until they bleed ear infections owner observation
Fine needle aspirate (FNA) performed on skin nodule; cytology pending.,Skin Irritations,Clinical Notes,fine needle aspirate fna performed on skin nodule cytology pending skin irritations clinical notes
Cat seems painful when she opens her mouth wide to yawn.,Ear Infections,Owner Observation,cat seems painful when she opens her mouth wide to yawn ear infections owner observation
"Rule out endocrinopathy (hypothyroidism, Cushing's) contributing to chronic skin/ear issues.",Ear Infections,Clinical Notes,rule out endocrinopathy hypothyroidism cushings contributing to chronic skinear issues ear infections clinical notes
Use imidacloprid/moxidectin (Advantage Multi) for heartworm/flea/mite/intestinal parasite control.,Parasites,Clinical Notes,use imidaclopridmoxidectin advantage multi for heartwormfleamiteintestinal parasite control parasites clinical notes
"Advise owner to monitor for worsening signs (increased pain, neurological deficits).",Ear Infections,Clinical Notes,advise owner to monitor for worsening signs increased pain neurological deficits ear infections clinical notes
Consider referral to veterinary dermatologist if no improvement.,Skin Irritations,Clinical Notes,consider referral to veterinary dermatologist if no improvement skin irritations clinical notes
"My dog has developed sudden, severe abdominal distension.",Digestive Issues,Owner Observation,my dog has developed sudden severe abdominal distension digestive issues owner observation
Measure thigh circumference bilaterally to quantify muscle atrophy.,Mobility Problems,Clinical Notes,measure thigh circumference bilaterally to quantify muscle atrophy mobility problems clinical notes
